,EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
582,NOVAGIGS INC,DATA ANALYST,"73,000","WASHINGTON, DC",01/24/2022,02/07/2022
583,APEX ANALYTIX LLC,DATA ANALYST,"73,000","GREENSBORO, NC",02/16/2022,08/15/2022
584,MID-ATLANTIC PERMANENTE MEDICAL GROUP PC,DATA ANALYST,"73,000","ROCKVILLE, MD",05/05/2022,10/01/2022
585,NGTALENTTECH GROUP LLC,DATA ANALYST,"73,000","DES PLAINES, IL",06/15/2022,10/01/2022
586,CONEXUS SOLUTIONS INC,DATA ANALYST,"73,050","MCKINNEY, TX",04/14/2022,10/01/2022
587,FISEC GLOBAL INC,DATA ANALYST,"73,091","CHARLOTTE, NC",08/18/2022,08/22/2022
588,NORTHWELL HEALTH,DATA ANALYST,"73,112","SYOSSET, NY",11/29/2022,05/28/2023
589,BUYERLINK INC,DATA ANALYST,"73,694","WALNUT CREEK, CA",03/30/2022,09/28/2022
590,INFO WAY SOLUTIONS LLC,DATA ANALYST,"73,694","SAN JOSE, CA",01/12/2022,01/21/2022
591,INFOR (US) LLC,DATA ANALYST,"73,694","SAN FRANCISCO, CA",06/14/2022,10/01/2022
592,SUPERLOGIX INC,DATA ANALYST,"73,715","PULLMAN, WA",06/20/2022,10/01/2022
593,SYNAPSIS INC,DATA ANALYST,"73,778","BUFFALO GROVE, IL",10/05/2022,10/17/2022
594,GENEX SYSTEMS LLC,DATA ANALYST,"73,944","MCLEAN, VA",03/08/2022,09/03/2022
595,GENEX SYSTEMS LLC,DATA ANALYST,"73,944","MCLEAN, VA",03/24/2022,09/03/2022
596,DONNELLY-BOLAND & ASSOCIATES,DATA ANALYST,"73,980","PITTSBURGH, PA",05/09/2022,10/01/2022
597,APTIVA CORP,DATA ANALYST,"74,000","AURORA, IL",10/19/2022,11/01/2022
598,GO8IT INC,DATA ANALYST,"74,027","JERSEY CITY, NJ",05/25/2022,10/01/2022
599,XO SOFTTECH INC,DATA ANALYST,"74,030","CHARLOTTE, NC",06/10/2022,10/01/2022
600,VENTOIS INC,DATA ANALYST,"74,173","SHREWSBURY, MA",06/17/2022,10/01/2022
601,COMSCORE INC,DATA ANALYST,"74,230","RESTON, VA",03/25/2022,09/11/2022
602,SUNAR TECH SOLUTIONS INC,DATA ANALYST,"74,277","OVERLAND PARK, KS",06/09/2022,10/01/2022
603,AMITECH SOLUTIONS INC,DATA ANALYST,"74,464","SEATTLE, WA",05/27/2022,10/01/2022
604,VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,DATA ANALYST,"74,550","BLACKSBURG, VA",12/13/2022,03/10/2023
605,OPTUM SERVICES INC,DATA ANALYST,"74,589","GLASTONBURY, CT",06/30/2022,07/01/2022
606,INFOGAIN CORPORATION,DATA ANALYST,"74,608","CHICAGO, IL",06/01/2022,10/01/2022
607,STATE AUTO PROPERTY & CASUALTY INSURANCE COMPANY,DATA ANALYST,"74,672","COLUMBUS, OH",02/14/2022,03/07/2022
608,VIZION TECHNOLOGIES LLC,DATA ANALYST,"74,672","DUBLIN, OH",06/08/2022,10/01/2022
609,HEIFER PROJECT INTERNATIONAL,DATA ANALYST,"74,675","SALISBURY, MD",11/08/2022,12/21/2022
610,LIBERTY MUTUAL TECHNOLOGY GROUP INC,DATA ANALYST,"74,818","DOVER, NH",03/07/2022,09/03/2022
611,THE EXECUSEARCH GROUP LLC,DATA ANALYST,"74,880","LAKE SUCCESS, NY",04/14/2022,10/01/2022
612,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,DATA ANALYST,"75,000","NEW YORK, NY",06/24/2022,08/01/2022
613,RECOVERY LINK INC,DATA ANALYST,"75,000","EVANSTON, IL",04/28/2022,10/01/2022
614,DTS INC,DATA ANALYST,"75,000","CALABASAS, CA",10/25/2022,10/25/2022
615,CYBERTHINK INC,DATA ANALYST,"75,000","NEW YORK, NY",08/04/2022,08/08/2022
616,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"75,000","NEW YORK, NY",03/11/2022,03/11/2022
617,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"75,000","NEW YORK, NY",03/11/2022,03/11/2022
618,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"75,000","NEW YORK, NY",03/23/2022,03/23/2022
619,MOBILITYWARE INC,DATA ANALYST,"75,000","IRVINE, CA",03/28/2022,09/07/2022
620,MOBILITYWARE INC,DATA ANALYST,"75,000","IRVINE, CA",03/28/2022,09/07/2022
621,MASTERPIECE ADVISORS LLC,DATA ANALYST,"75,000","NEW YORK, NY",03/30/2022,09/16/2022
622,SYMPHONYCARE INC,DATA ANALYST,"75,000","MADISON, WI",04/06/2022,10/01/2022
623,COBBS CREEK HEALTHCARE LLC,DATA ANALYST,"75,000","NEWTOWN SQUARE, PA",04/06/2022,10/01/2022
624,COBBS CREEK HEALTHCARE LLC,DATA ANALYST,"75,000","NEWTOWN SQUARE, PA",04/06/2022,10/01/2022
625,QUANTBOT TECHNOLOGIES LP,DATA ANALYST,"75,000","NEW YORK, NY",04/07/2022,10/01/2022
626,WELLSTACK INC,DATA ANALYST,"75,000","MADISON, WI",04/08/2022,10/01/2022
627,CAMBRIDGE SYSTEMATICS INC,DATA ANALYST,"75,000","OAKLAND, CA",04/12/2022,10/01/2022
628,BRIGHTREE HOME HEALTH & HOSPICE LLC,DATA ANALYST,"75,000","BLOOMINGTON, MN",04/13/2022,07/01/2022
629,HORNBLOWER GROUP INC,DATA ANALYST,"75,000","NEW YORK, NY",04/15/2022,10/01/2022
630,HORNBLOWER GROUP INC,DATA ANALYST,"75,000","EDISON, NJ",04/15/2022,10/01/2022
631,MORTGAGE INDUSTRY ADVISORY CORPORATION,DATA ANALYST,"75,000","BETHLEHEM, PA",04/19/2022,10/01/2022
632,THE NIELSEN COMPANY (US) LLC,DATA ANALYST,"75,000","JERSEY CITY, NJ",01/10/2022,02/20/2022
633,INTELLECT DESIGN ARENA INC,DATA ANALYST,"75,000","PISCATAWAY, NJ",02/08/2022,02/15/2022
634,INSURANCE SERVICES OFFICE INC,DATA ANALYST,"75,000","JERSEY CITY, NJ",02/17/2022,08/16/2022
635,DOW JONES AND COMPANY,DATA ANALYST,"75,000","MONMOUTH JUNCTION, NJ",02/21/2022,08/15/2022
636,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"75,000","NEW YORK, NY",03/23/2022,03/23/2022
637,SZNW HOSPITALITY LLC,DATA ANALYST,"75,000","UNIVERSAL CITY, CA",04/22/2022,10/01/2022
638,RECOVERY LINK INC,DATA ANALYST,"75,000","EVANSTON, IL",04/28/2022,10/01/2022
639,CONJECTURE CONSULTING LLC,DATA ANALYST,"75,000","CLEVELAND, OH",04/29/2022,10/01/2022
640,THE BOSTON CONSULTING GROUP INC,DATA ANALYST,"75,000","BOSTON, MA",05/02/2022,10/01/2022
641,DOTCOM TEAM LLC,DATA ANALYST,"75,000","PLAINSBORO TOWNSHIP, NJ",05/03/2022,10/01/2022
642,ASSURANCE HOSPITALITY LLC,DATA ANALYST,"75,000","SALT LAKE CITY, UT",05/04/2022,08/15/2022
643,RECOVERY LINK INC,DATA ANALYST,"75,000","EVANSTON, IL",05/10/2022,10/01/2022
644,NEXT PHASE SYSTEMS INC,DATA ANALYST,"75,000","SAN MATEO, CA",05/13/2022,10/01/2022
645,JAI MEDICAL SYSTEMS MANAGED CARE ORGANIZATION INC,DATA ANALYST,"75,000","HUNT VALLEY, MD",05/27/2022,08/15/2022
646,FUGE TECHNOLOGIES INC,DATA ANALYST,"75,000","COSTA MESA, CA",05/27/2022,10/01/2022
647,VEQTOR LLC,DATA ANALYST,"75,000","ROSEMONT, IL",06/01/2022,10/01/2022
648,ADPMN INC,DATA ANALYST,"75,000","AUSTIN, TX",06/06/2022,10/01/2022
649,KSAPEX LLC,DATA ANALYST,"75,000","FALLS CHURCH, VA",06/06/2022,10/01/2022
650,AMAZEE GLOBAL VENTURES INC,DATA ANALYST,"75,000","ROCKAWAY, NY",06/08/2022,10/01/2022
651,AMAZEE GLOBAL VENTURES INC,DATA ANALYST,"75,000","ROCKAWAY, NY",06/08/2022,10/01/2022
652,RATEGRAVITY INC,DATA ANALYST,"75,000","NORTHAMPTON, MA",06/16/2022,10/01/2022
653,CYGNET TECHNOLOGIES INC,DATA ANALYST,"75,000","FARMERS BRANCH, TX",06/21/2022,10/01/2022
654,MOXIE IT SOLUTIONS,DATA ANALYST,"75,000","LOUISVILLE, KY",06/21/2022,10/01/2022
655,RAVH IT INC,DATA ANALYST,"75,026","TAMPA, FL",09/30/2022,10/07/2022
656,SOFTNICE INC,DATA ANALYST,"75,088","WEST CHESTER, PA",04/12/2022,10/01/2022
657,G2O LLC,DATA ANALYST,"75,130","COLUMBUS, OH",05/04/2022,10/01/2022
658,G2O LLC,DATA ANALYST,"75,130","DUBLIN, OH",05/04/2022,10/01/2022
659,ARKA SOLUTIONS INC,DATA ANALYST,"75,192","GREENWOOD VILLAGE, CO",06/09/2022,10/01/2022
660,ARKA SOLUTIONS INC,DATA ANALYST,"75,192","GREENWOOD VILLAGE, CO",06/09/2022,10/01/2022
661,ALPHOSOFT INC,DATA ANALYST,"75,296","STAMFORD, CT",04/29/2022,10/01/2022
662,ROCK CENTRAL LLC,DATA ANALYST,"75,500","NASHUA, NH",09/16/2022,10/01/2022
663,KPLER INC,DATA ANALYST,"75,500","EAST HAVEN, CT",05/06/2022,05/09/2022
664,TRINE IT INC,DATA ANALYST,"75,670","SUWANEE, GA",02/11/2022,02/18/2022
665,ENTELLECTS CORPORATION INC,DATA ANALYST,"75,670","ALPHARETTA, GA",05/04/2022,06/27/2022
666,CONFLUX SYSTEMS INC,DATA ANALYST,"75,899","DETROIT, MI",01/03/2022,01/11/2022
667,NUANZA INC,DATA ANALYST,"76,000","CHICAGO, IL",07/27/2022,10/30/2022
668,LAKEVIEW LOAN SERVICING LLC,DATA ANALYST,"76,000","FORT LAUDERDALE, FL",03/25/2022,08/09/2022
669,HOME DEPOT USA INC,DATA ANALYST,"76,000","ATLANTA, GA",09/27/2022,10/24/2022
670,PC CONNECTION INC,DATA ANALYST,"76,000","MERRIMACK, NH",05/04/2022,10/01/2022
671,EFICENS SYSTEMS LLC,DATA ANALYST,"76,000","ATLANTA, GA",05/23/2022,10/01/2022
672,PC CONNECTION INC,DATA ANALYST,"76,000","EDISON, NJ",06/08/2022,10/01/2022
673,VEQTOR LLC,DATA ANALYST,"76,000","ROSEMONT, IL",06/16/2022,10/01/2022
674,DEBT PAY INC,DATA ANALYST,"76,045","SCHAUMBURG, IL",04/27/2022,10/01/2022
675,CARCO TECHNOLOGIES LLC,DATA ANALYST,"76,045","CARMEL, IN",05/25/2022,10/01/2022
676,MAXPEP LLC,DATA ANALYST,"76,045","WESTMONT, IL",06/16/2022,10/01/2022
677,CYBERTHINK INC,DATA ANALYST,"76,100","ATLANTA, GA",03/24/2022,04/11/2022
678,IT PREMIA GROUP INC,DATA ANALYST,"76,100","LINCOLN, NE",05/13/2022,10/01/2022
679,DATASOFT TECHNOLOGIES INC,DATA ANALYST,"76,128","GREENVILLE, SC",06/06/2022,10/01/2022
680,COOPERSURGICAL INC,DATA ANALYST,"76,315","BRIGHTON, MA",03/16/2022,09/08/2022
681,PHILIPS NORTH AMERICA LLC,DATA ANALYST,"76,315","CAMBRIDGE, MA",04/11/2022,10/01/2022
682,QUALCOMM INCORPORATED,DATA ANALYST,"76,338","SAN DIEGO, CA",04/14/2022,10/01/2022
683,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,DATA ANALYST,"76,498","NEW YORK, NY",10/26/2022,11/11/2022
684,SAI TECHNOLOGIES LLC,DATA ANALYST,"76,500","CHICAGO, IL",01/26/2022,03/02/2022
685,SAI TECHNOLOGIES LLC,DATA ANALYST,"76,500","CHICAGO, IL",01/27/2022,02/03/2022
686,QUALCOMM TECHNOLOGIES INC,DATA ANALYST,"76,544","SAN DIEGO, CA",01/18/2022,07/05/2022
687,QUALCOMM INCORPORATED,DATA ANALYST,"76,544","SAN DIEGO, CA, CA",01/19/2022,07/05/2022
688,QUALCOMM TECHNOLOGIES INC,DATA ANALYST,"76,544","SAN DIEGO, CA",02/28/2022,08/11/2022
689,QUALCOMM INCORPORATED,DATA ANALYST,"76,544","SAN DIEGO, CA",05/15/2022,10/01/2022
690,QUALCOMM INCORPORATED,DATA ANALYST,"76,544","SAN DIEGO, CA",05/24/2022,10/01/2022
691,QUALCOMM INCORPORATED,DATA ANALYST,"76,544","SAN DIEGO, CA",05/27/2022,10/01/2022
692,HORIZONPLUS TECHNOLOGIES INC,DATA ANALYST,"76,690","PLYMOUTH, MN",06/11/2022,10/01/2022
693,LARESIT SOLUTIONS INC,DATA ANALYST,"76,710","GREENVILLE, SC",05/31/2022,09/26/2022
694,ACCODIAN LLC,DATA ANALYST,"76,856","DALLAS, TX",01/17/2022,01/25/2022
695,AMERITEK GLOBAL INC,DATA ANALYST,"76,856","PLANO, TX",02/03/2022,02/09/2022
696,CLOUD HYBRID TECHNOLOGIES LLC,DATA ANALYST,"76,856","FRISCO, TX",02/11/2022,02/18/2022
697,NORTEK CONSULTING INC,DATA ANALYST,"76,856","DETROIT, MI",04/22/2022,10/01/2022
698,VKAAS LLC,DATA ANALYST,"76,856","LISLE, IL",05/02/2022,10/01/2022
699,TEKORG INC,DATA ANALYST,"76,856","SPRING, TX",05/23/2022,06/06/2022
700,N1 SOLUTIONS LLC,DATA ANALYST,"76,856","JERSEY CITY, NJ",05/26/2022,10/01/2022
701,ADVITHRI TECHNOLOGIES LLC,DATA ANALYST,"76,856","IRVING, TX",06/04/2022,10/01/2022
702,PENSOFT TECHNOLOGIES INC,DATA ANALYST,"76,856","IRVING, TX",06/04/2022,10/01/2022
703,TECHSTACK SYSTEMS LLC,DATA ANALYST,"76,856","RICHARDSON, TX",06/07/2022,10/01/2022
704,TECHIQ IT LLC,DATA ANALYST,"76,856","MELISSA, TX",06/14/2022,10/01/2022
705,SAGE IT INC,DATA ANALYST,"76,856","FRISCO, TX",06/15/2022,10/01/2022
706,BUSINESS INTELLI SOLUTIONS INC,DATA ANALYST,"76,856","FARMERS BRANCH, TX",06/16/2022,10/01/2022
707,BUSINESS INTELLI SOLUTIONS INC,DATA ANALYST,"76,856","FARMERS BRANCH, TX",06/16/2022,10/01/2022
708,RAMSONS INNOVATIONS,DATA ANALYST,"76,860","PFLUGERVILLE, TX",06/20/2022,10/01/2022
709,DEVZEN TECHNOLOGIES LLC,DATA ANALYST,"76,898","DALLAS, TX",06/16/2022,10/01/2022
710,TEXANS IT SERVICES INC,DATA ANALYST,"76,900","RICHARDSON,, TX",06/07/2022,10/01/2022
711,IT TRAILBLAZERS LLC,DATA ANALYST,"76,981","SAN ANTONIO, TX",05/05/2022,10/01/2022
712,VINCE LLC,DATA ANALYST,"77,000","NEW YORK, NY",11/09/2022,11/21/2022
713,AURIEMMA CONSULTING GROUP INC,DATA ANALYST,"77,000","AUSTIN, TX",07/27/2022,08/15/2022
714,BIRCH GROVE SOFTWARE INC,DATA ANALYST,"77,000","CAMBRIDGE, MA",02/24/2022,08/16/2022
715,CODEFIED INC,DATA ANALYST,"77,000","DALLAS, TX",04/28/2022,10/01/2022
716,MID-ATLANTIC PERMANENTE MEDICAL GROUP PC,DATA ANALYST,"77,000","HALETHORPE, MD",05/05/2022,10/01/2022
717,MID-ATLANTIC PERMANENTE MEDICAL GROUP PC,DATA ANALYST,"77,000","MCLEAN, VA",05/05/2022,10/01/2022
718,MEDIA STORM LLC,DATA ANALYST,"77,000","NEW PROVIDENCE, NJ",05/10/2022,10/01/2022
719,MEDIA STORM LLC,DATA ANALYST,"77,000","NEW YORK, NY",05/10/2022,10/01/2022
720,MEDIA STORM LLC,DATA ANALYST,"77,000","JERSEY CITY, NJ",05/10/2022,10/01/2022
721,MEDIA STORM LLC,DATA ANALYST,"77,000","LOS ANGELES, CA",05/10/2022,10/01/2022
722,MEDIA STORM LLC,DATA ANALYST,"77,000","LONG ISLAND CITY, NY",05/10/2022,10/01/2022
723,BROADRANGE TECHNOLOGIES INC,DATA ANALYST,"77,000","DALLAS, TX",05/11/2022,10/01/2022
724,EFICENS SYSTEMS LLC,DATA ANALYST,"77,000","DALLAS, TX",05/12/2022,10/01/2022
725,BROADRANGE TECHNOLOGIES INC,DATA ANALYST,"77,000","DALLAS, TX",05/13/2022,10/01/2022
726,MEDIA STORM LLC,DATA ANALYST,"77,000","WEST LAFAYETTE, IN",05/17/2022,10/01/2022
727,MEDIA STORM LLC,DATA ANALYST,"77,000","ATLANTA, GA",05/17/2022,10/01/2022
728,VST CONSULTING INC,DATA ANALYST,"77,000","SAN ANTONIO, TX",05/18/2022,05/26/2022
729,LORVENK TECHNOLOGIES LLC,DATA ANALYST,"77,000","DALLAS, TX",06/17/2022,10/01/2022
730,FLEXPORT INC,DATA ANALYST,"77,015","SAN FRANCISCO, CA",03/24/2022,09/22/2022
731,NK TECHNOLABS LLC,DATA ANALYST,"77,022","BUFFALO, NY",06/01/2022,10/01/2022
732,DOW JONES AND COMPANY,DATA ANALYST,"77,063","NEW YORK, NY",02/15/2022,08/10/2022
733,TEK LEADERS INC,DATA ANALYST,"77,189","MCLEAN, VA",04/15/2022,10/01/2022
734,SYMETRA LIFE INSURANCE COMPANY,DATA ANALYST,"77,300","BELLEVUE, WA",03/28/2022,08/13/2022
735,AGILENT TECHNOLOGIES INC,DATA ANALYST,"77,418","WILMINGTON, DE",03/17/2022,09/08/2022
736,ITLIZE GLOBAL LLC,DATA ANALYST,"77,418","PHILADELPHIA, PA",04/19/2022,10/01/2022
737,SKYGEN USA LLC,DATA ANALYST,"77,418","DOWNINGTOWN, PA",01/03/2022,01/17/2022
738,ITTECHNICA INC,DATA ANALYST,"77,418","WILMINGTON, DE",05/19/2022,10/01/2022
739,ITTECHNICA INC,DATA ANALYST,"77,418","WILMINGTON, DE",05/27/2022,10/01/2022
740,MOXIE IT SOLUTIONS,DATA ANALYST,"77,500","BISMARCK, ND",10/07/2022,10/12/2022
741,MID-ATLANTIC PERMANENTE MEDICAL GROUP PC,DATA ANALYST,"77,500","ROCKVILLE, MD",05/05/2022,10/01/2022
742,MANUTEK INC,DATA ANALYST,"77,584","CARY, NC",06/09/2022,10/01/2022
743,SLIGO SOFTWARE SOLUTIONS INC,DATA ANALYST,"77,700","ALBANY, NY",06/14/2022,10/01/2022
744,THOUGHTWAVE SOFTWARE & SOLUTIONS INC,DATA ANALYST,"77,917","AURORA, IL",10/06/2022,10/06/2022
745,WAVE SOLUTIONS INC,DATA ANALYST,"77,917","AURORA, IL",11/02/2022,11/02/2022
746,CEM TECHNOLOGY INC,DATA ANALYST,"78,000","NEW YORK, NY",04/06/2022,10/01/2022
747,IZEAL INC,DATA ANALYST,"78,000","LEBANON, NJ",09/07/2022,09/16/2022
748,IZEAL INC,DATA ANALYST,"78,000","LEBANON, NJ",09/07/2022,09/16/2022
749,IZEAL INC,DATA ANALYST,"78,000","LEBANON, NJ",09/07/2022,09/16/2022
750,IZEAL INC,DATA ANALYST,"78,000","LEBANON, NJ",09/08/2022,09/16/2022
751,MARVELOUS TECHNOLOGIES INC,DATA ANALYST,"78,000","GURNEE, IL",04/22/2022,10/01/2022
752,BRILLFY TECHNOLOGY INC,DATA ANALYST,"78,000","PLANTO, TX",04/25/2022,10/01/2022
753,BRILLFY TECHNOLOGY INC,DATA ANALYST,"78,000","PLANO, TX",04/25/2022,10/01/2022
754,ARCUS TECHNOLOGIES,DATA ANALYST,"78,000","ARLINGTON HEIGHTS, IL",05/17/2022,10/01/2022
755,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"78,280","NEW YORK, NY",06/03/2022,10/04/2022
756,RUSH UNIVERSITY MEDICAL CENTER,DATA ANALYST,"78,312","ALPHARETTA, GA",09/01/2022,09/07/2022
757,THE ADVIZOR GROUP LLC,DATA ANALYST,"78,499","RICHMOND, VA",06/28/2022,07/11/2022
758,HMETRIX LLC,DATA ANALYST,"78,499","BALA CYNWYD, PA",05/10/2022,10/01/2022
759,HORIZONPLUS TECHNOLOGIES INC,DATA ANALYST,"78,499","RICHMOND, VA",06/11/2022,10/01/2022
760,Z AND A INFOTEK CORPORATION,DATA ANALYST,"78,500","WAYNE, PA",03/30/2022,07/04/2022
761,NOVAGIGS INC,DATA ANALYST,"78,500","MCLEAN, VA",05/17/2022,10/01/2022
762,HORIZON SOFTECH INC,DATA ANALYST,"78,541","READING, PA",03/04/2022,03/11/2022
763,GUMGUM INC,DATA ANALYST,"78,562","SEATTLE, WA",05/19/2022,10/01/2022
764,GUMGUM INC,DATA ANALYST,"78,562","SANTA MONICA, CA",05/19/2022,10/01/2022
765,DECIDE TECHNOLOGIES INC,DATA ANALYST,"78,562","SAINT LOUIS, MO",06/09/2022,07/24/2022
766,ITTECHNICA INC,DATA ANALYST,"78,562","BELLEVUE, WA",06/14/2022,10/01/2022
767,NEO PRISM SOLUTIONS LLC,DATA ANALYST,"78,600","BELLEVUE, WA",06/08/2022,10/01/2022
768,PROFUSION SYSTEMS INC,DATA ANALYST,"78,700","EDWARDSVILLE, IL",07/28/2022,08/08/2022
769,MID-ATLANTIC PERMANENTE MEDICAL GROUP PC,DATA ANALYST,"78,800","ROCKVILLE, MD",05/05/2022,10/01/2022
770,AVAMERE SKILLED ADVISORS LLC,DATA ANALYST,"78,915","INDIANAPOLIS, IN",08/08/2022,08/15/2022
771,CHINA CUSTOM MANUFACTURING LTD,DATA ANALYST,"78,936","FREMONT, CA",04/15/2022,10/01/2022
772,SIRI SOFTWARE SOLUTIONS LLC,DATA ANALYST,"78,957","ARBUTUS, MD",05/18/2022,10/01/2022
773,DATA AFFECT LLC,DATA ANALYST,"79,000","SCHAUMBURG, IL",01/17/2022,01/17/2022
774,V-SOFT CONSULTING GROUP INC,DATA ANALYST,"79,000","CHICAGO, IL",05/06/2022,06/01/2022
775,MCAFEE LLC,DATA ANALYST,"79,000","FRISCO, TX",06/06/2022,10/01/2022
776,ITLIZE GLOBAL LLC,DATA ANALYST,"79,019","MCLEAN, VA",07/12/2022,10/01/2022
777,AGAP TECHNOLOGIES INC,DATA ANALYST,"79,456","TORRANCE, CA",08/03/2022,08/10/2022
778,COMSCORE INC,DATA ANALYST,"79,474","MEDFORD, MA",05/05/2022,05/09/2022
779,HYLAND SOFTWARE INC,DATA ANALYST,"79,903","WESTLAKE, OH",05/16/2022,08/24/2022
780,THINQSPOT INC,DATA ANALYST,"79,914","HARRISON, NJ",06/15/2022,10/01/2022
781,TOKIO MARINE HIGHLAND INSURANCE SERVICES INC,DATA ANALYST,"80,000","DALLAS, TX",04/14/2022,10/01/2022
782,TOKIO MARINE HIGHLAND INSURANCE SERVICES,DATA ANALYST,"80,000","DALLAS, TX",04/14/2022,10/01/2022
783,EZEN COMPUTER SERVICES INC,DATA ANALYST,"80,000","NEWARK, NJ",11/15/2022,11/23/2022
784,CAPACITY LLC,DATA ANALYST,"80,000","NORTH BRUNSWICK, NJ",08/02/2022,08/16/2022
785,WELL WOVEN INC,DATA ANALYST,"80,000","NEW YORK, NY",03/08/2022,09/06/2022
786,EPSILON DATA MANAGEMENT LLC,DATA ANALYST,"80,000","WAKEFIELD, MA",03/23/2022,09/07/2022
787,LENDINGCLUB BANK NATIONAL ASSOCIATION,DATA ANALYST,"80,000","BOSTON, MA",03/25/2022,09/23/2022
788,RYDER SYSTEM INC,DATA ANALYST,"80,000","MONTGOMERY, IL",04/06/2022,10/01/2022
789,MONEX INC,DATA ANALYST,"80,000","NEW YORK, NY",04/07/2022,04/15/2022
790,BED BATH & BEYOND INC,DATA ANALYST,"80,000","UNION, NJ",04/07/2022,10/01/2022
791,BED BATH & BEYOND INC,DATA ANALYST,"80,000","UNION, NJ",04/07/2022,10/01/2022
792,PLANCK LLC,DATA ANALYST,"80,000","NEW YORK, NY",04/07/2022,10/01/2022
793,PLANCK LLC,DATA ANALYST,"80,000","NEW YORK, NY",04/08/2022,10/01/2022
794,MONEX INC,DATA ANALYST,"80,000","NEW YORK, NY",04/09/2022,04/20/2022
795,ONPOINT DIGITAL SOLUTIONS LLC,DATA ANALYST,"80,000","PEARLAND, TX",04/12/2022,04/22/2022
796,POWERSCHOOL GROUP LLC,DATA ANALYST,"80,000","ARLINGTON, TX",04/13/2022,10/01/2022
797,SYNTAIN TECHNOLOGIES LLC,DATA ANALYST,"80,000","NEW YORK, NY",04/19/2022,10/03/2022
798,RANDSTAD TECHNOLOGIES LLC,DATA ANALYST,"80,000","HARRISON, NJ",04/19/2022,10/01/2022
799,NYU GROSSMAN SCHOOL OF MEDICINE,DATA ANALYST,"80,000","NEW YORK, NY",09/23/2022,01/10/2023
800,COMPUTER AID INC,DATA ANALYST,"80,000","HARRISBURG, PA",01/11/2022,07/01/2022
801,SYSSOL INC,DATA ANALYST,"80,000","TRACY, CA",01/14/2022,01/24/2022
802,SAARTHI LLC,DATA ANALYST,"80,000","LOWER GWYNEDD, PA",02/01/2022,02/10/2022
803,COMSCORE INC,DATA ANALYST,"80,000","RESTON, VA",02/03/2022,02/09/2022
804,MCCANN YAN HOLDINGS INC,DATA ANALYST,"80,000","MCLEAN, VA",02/07/2022,02/28/2022
805,MCCANN YAN HOLDINGS INC,DATA ANALYST,"80,000","MCLEAN, VA",02/07/2022,02/28/2022
806,COMPUTER AID INC,DATA ANALYST,"80,000","HARRISBURG, PA",02/10/2022,07/01/2022
807,MV TRANSPORTATION INC,DATA ANALYST,"80,000","EVERETT, WA",02/28/2022,02/28/2022
808,COMSCORE INC,DATA ANALYST,"80,000","RESTON, VA",03/04/2022,03/04/2022
809,VANDERBILT UNIVERSITY,DATA ANALYST,"80,000","NASHVILLE, TN",09/29/2022,02/27/2023
810,CLARIFY HEALTH SOLUTIONS INC,DATA ANALYST,"80,000","BRIER, WA",04/20/2022,10/01/2022
811,ENGAGE3 INC,DATA ANALYST,"80,000","DAVIS, CA",04/26/2022,05/02/2022
812,BARCLAYS SERVICES CORP,DATA ANALYST,"80,000","WHIPPANY, NJ",04/28/2022,05/30/2022
813,IPSOS MMA INC,DATA ANALYST,"80,000","HARRISON, NJ",04/29/2022,10/01/2022
814,RYDER SYSTEM INC,DATA ANALYST,"80,000","MONTGOMERY, IL",04/29/2022,10/01/2022
815,AFFINITY SOLUTIONS,DATA ANALYST,"80,000","NEW YORK, NY",04/29/2022,10/01/2022
816,AT HOME STORES LLC,DATA ANALYST,"80,000","TEXAS, TX",05/03/2022,10/01/2022
817,AT HOME STORES LLC,DATA ANALYST,"80,000","PLANO, TX",05/03/2022,10/01/2022
818,OVERSTOCKCOM INC,DATA ANALYST,"80,000","MIDVALE, UT",05/10/2022,10/01/2022
819,BEACON DATA INC,DATA ANALYST,"80,000","HOLLADAY, UT",05/11/2022,10/01/2022
820,MARKETING ASSOCIATES LLC DBA ONEMAGNIFY,DATA ANALYST,"80,000","FARMINGTON HILLS, MI",05/13/2022,10/01/2022
821,MINDCAVE LLC,DATA ANALYST,"80,000","AUSTIN, TX",05/17/2022,10/01/2022
822,AKTRA INC,DATA ANALYST,"80,000","WASHINGTON, DC, DC",05/17/2022,10/01/2022
823,MINDCAVE LLC,DATA ANALYST,"80,000","AUSTIN, TX",05/17/2022,10/01/2022
824,SWIFT PACE SOLUTIONS INC,DATA ANALYST,"80,000","REDMOND, WA",05/18/2022,10/01/2022
825,ALL IN ONE INC,DATA ANALYST,"80,000","BELLEVUE, WA",05/20/2022,10/01/2022
826,VIZTECH LLC,DATA ANALYST,"80,000","NEW YORK, NY",05/21/2022,10/03/2022
827,MINDCAVE LLC,DATA ANALYST,"80,000","AUSTIN, TX",05/24/2022,10/01/2022
